NumeroLancamento,DataCompetencia,DW,Local,Diff
358339,2026-01-01,0.00,122977.12,-122977.12
354768,2026-01-01,0.00,-4590.00,4590.00
356178,2026-01-01,0.00,4113.96,-4113.96
356174,2026-01-01,0.00,3900.00,-3900.00
358903,2026-01-01,0.00,3900.00,-3900.00
356166,2026-01-01,0.00,3805.16,-3805.16
356195,2026-01-01,0.00,3800.00,-3800.00
357171,2026-01-01,0.00,3213.21,-3213.21
356752,2026-01-01,0.00,3200.00,-3200.00
356746,2026-01-01,0.00,3000.00,-3000.00
356165,2026-01-01,0.00,2983.70,-2983.70
356181,2026-01-01,0.00,2959.92,-2959.92
356744,2026-01-01,0.00,2944.29,-2944.29
356192,2026-01-01,0.00,2745.00,-2745.00
355943,2026-01-01,0.00,-2738.00,2738.00
356169,2026-01-01,0.00,2680.00,-2680.00
356176,2026-01-01,0.00,2634.92,-2634.92
356747,2026-01-01,0.00,2600.00,-2600.00
357613,2026-01-01,0.00,2517.15,-2517.15
356172,2026-01-01,0.00,2401.84,-2401.84
357162,2026-01-01,0.00,2104.92,-2104.92
356179,2026-01-01,0.00,2026.23,-2026.23
356193,2026-01-01,0.00,2005.06,-2005.06
356167,2026-01-01,0.00,1928.64,-1928.64
356180,2026-01-01,0.00,1900.00,-1900.00
356743,2026-01-01,0.00,1880.00,-1880.00
357615,2026-01-01,0.00,1878.02,-1878.02
356186,2026-01-01,0.00,1836.93,-1836.93
355068,2026-01-01,0.00,-1780.00,1780.00
356187,2026-01-01,0.00,1710.76,-1710.76
358558,2026-01-01,0.00,1650.00,-1650.00
356168,2026-01-01,0.00,1636.79,-1636.79
356177,2026-01-01,0.00,1586.00,-1586.00
356745,2026-01-01,0.00,1586.00,-1586.00
354980,2026-01-01,0.00,-1321.00,1321.00
353577,2026-01-01,0.00,-1199.60,1199.60
359831,2026-01-28,-1058.38,0.00,-1058.38
354932,2026-01-01,0.00,-740.00,740.00
354956,2026-01-01,0.00,-618.50,618.50
354981,2026-01-01,0.00,-610.00,610.00
354820,2026-01-01,0.00,-601.00,601.00
353602,2026-01-01,0.00,-599.80,599.80
354982,2026-01-01,0.00,-578.00,578.00
354769,2026-01-01,0.00,-540.00,540.00
355113,2026-01-01,0.00,-508.98,508.98
356185,2026-01-01,0.00,500.00,-500.00
356742,2026-01-01,0.00,500.00,-500.00
355872,2026-01-01,0.00,-460.00,460.00
354819,2026-01-01,0.00,-376.00,376.00
354831,2026-01-01,0.00,-356.49,356.49
354764,2026-01-01,0.00,-334.00,334.00
358269,2026-01-01,0.00,327.35,-327.35
354776,2026-01-01,0.00,-301.00,301.00
354832,2026-01-01,0.00,-293.12,293.12
355937,2026-01-01,0.00,-267.00,267.00
355939,2026-01-01,0.00,-267.00,267.00
354780,2026-01-01,0.00,-250.00,250.00
354957,2026-01-01,0.00,-250.00,250.00
357882,2026-01-01,0.00,229.08,-229.08
355703,2026-01-01,0.00,-214.00,214.00
359377,2026-01-01,0.00,193.69,-193.69
359378,2026-01-01,0.00,193.69,-193.69
358025,2026-01-01,0.00,176.08,-176.08
355069,2026-01-01,0.00,-170.00,170.00
354777,2026-01-01,0.00,-155.00,155.00
354985,2026-01-01,0.00,-145.00,145.00
355944,2026-01-01,0.00,-135.00,135.00
354984,2026-01-01,0.00,-120.00,120.00
359385,2026-01-01,0.00,114.54,-114.54
359509,2026-01-01,0.00,114.54,-114.54
355704,2026-01-01,0.00,-105.00,105.00
357980,2026-01-01,0.00,104.13,-104.13
357981,2026-01-01,0.00,104.13,-104.13
357983,2026-01-01,0.00,104.13,-104.13
354983,2026-01-01,0.00,-100.00,100.00
355870,2026-01-01,0.00,-100.00,100.00
355938,2026-01-01,0.00,-90.00,90.00
355940,2026-01-01,0.00,-90.00,90.00
357711,2026-01-01,0.00,87.68,-87.68
357705,2026-01-01,0.00,85.91,-85.91
357883,2026-01-01,0.00,85.91,-85.91
359392,2026-01-01,0.00,85.91,-85.91
353578,2026-01-01,0.00,-85.00,85.00
354928,2026-01-01,0.00,-80.00,80.00
358984,2026-01-01,0.00,78.10,-78.10
358985,2026-01-01,0.00,78.10,-78.10
359007,2026-01-01,0.00,78.10,-78.10
359250,2026-01-01,0.00,78.10,-78.10
353603,2026-01-01,0.00,-62.00,62.00
359372,2026-01-01,0.00,25.00,-25.00